RIVER_SECTION_ID_AAWA,Name,RS_ID_SensorThingServer,RS_Group
238,OROLO m.   7219.79,476,1
240,OROLO m.   8395.82,477,1
241,OROLO m.   8750.21,478,1
244,OROLO m.   9594.86,479,1
302,Retrone a S.Agostino,501,2
304,RETRONE m.   2495.61,502,2
305,RETRONE m.   2739.17,503,2
306,RETRONE m.   3023.20,504,2
308,RETRONE m.   3467.06,505,2
310,RETRONE m.   3961.48,506,2
312,RETRONE m.   4408.30,507,2
314,RETRONE m.   4860.71,508,2
315,RETRONE m.   5184.36,509,2
317,RETRONE m.   5485.27,510,2
323,RETRONE m.   6303.90,511,2
451,TIMONCHIO m.  25308,575,3
454,TIMONCHIO m.  25784.19,576,3
455,TIMONCHIO m.  26106.12,577,3
456,Timonchio a ponte Marchese,578,3
458,TIMONCHIO m.  27092.03,579,3
459,TIMONCHIO m.  27403.30,580,3
460,TIMONCHIO m.  27721.19,581,3
462,TIMONCHIO m.  28060.05,582,3
464,TIMONCHIO m.  28462.52,583,3
466,TIMONCHIO m.  28947.77,584,3
468,BACCHIGLIONE  m.  29275.41,585,4
469,TIMONCHIO Km.  29418.01,586,4
470,BACCHIGLIONE  m.   29650.40,587,4
471,BACCHIGLIONE  m.  30473.66,588,4
473,BACCHIGLIONE  m.   30827.47,589,4
475,BACCHIGLIONE  m.  31110.61,590,5
476,BACCHIGLIONE  m.   31409.08,591,5
479,BACCHIGLIONE  m.   31801.54,592,5
481,BACCHIGLIONE  m.  32449.05,593,5
483,BACCHIGLIONE  m.   32713.71,594,5
486,BACCHIGLIONE  m.  32991.17,595,5
487,BACCHIGLIONE  m. 33134.66,596,5
489,BACCHIGLIONE  m.   33311.71 briglia,597,5
727,BACCHIGLIONE  m.   33372.35 Ponte Pusterla,693,5
491,BACCHIGLIONE  m.   33391.50,598,5
492,BACCHIGLIONE  m.  33471.27,599,5
493,BACCHIGLIONE  m.  33786.11,600,5
494,BACCHIGLIONE  m.  33945.23,601,5
495,Bacchiglione a Ponte Degli Angeli,602,5
499,BACCHIGLIONE  m. 34390.94,603,6
500,BACCHIGLIONE  m.  34452.63,604,6
501,BACCHIGLIONE  m.   34605.95,605,6
503,BACCHIGLIONE  m.   34939.40,606,6
505,BACCHIGLIONE  m.   35203.25,607,6
508,BACCHIGLIONE  m.   35640.34,608,6
511,BACCHIGLIONE  m.  35929.63,609,6
512,BACCHIGLIONE  m.   36346.16,610,6
513,BACCHIGLIONE  m.   37404.59,611,6
514,BACCHIGLIONE  m.   38897.86,612,6
515,BACCHIGLIONE  m.   39606.67,613,6
719,BACCHIGLIONE  m.  39746.00 ponte A4,692,6
517,BACCHIGLIONE  m.   41196.36,614,6
518,BACCHIGLIONE  m.   42424.28,615,6
520,BACCHIGLIONE  m.  43855.07,616,6
521,BACCHIGLIONE  m.   44100.64 briglia Debba,617,6
